,BERT
AUC ROC - Health,0.95061696
AUC ROC - Vehicles,0.9570166
AUC ROC - Hobbies & Leisure,0.9193139
AUC ROC - Food & Groceries,0.9607837
AUC ROC - Retailers & General Merchandise,0.9425981
AUC ROC - Arts & Entertainment,0.924951
AUC ROC - Jobs & Education,0.9459585
AUC ROC - Law & Government,0.9363848
AUC ROC - Home & Garden,0.94838923
AUC ROC - Finance,0.95139754
AUC ROC - Computers & Consumer Electronics,0.9469222
AUC ROC - Internet & Telecom,0.9271123
AUC ROC - Sports & Fitness,0.93298805
AUC ROC - Dining & Nightlife,0.96544385
AUC ROC - Business & Industrial,0.89647937
AUC ROC - Occasions & Gifts,0.9483903
AUC ROC - Travel & Tourism,0.94743305
"AUC ROC - News, Media & Publications",0.8890147
AUC ROC - Apparel,0.9584558
AUC ROC - Beauty & Personal Care,0.9441371
AUC ROC - Family & Community,0.9070463
AUC ROC - Real Estate,0.9563372
