,BERT
Average precision - Health,0.8023483
Average precision - Vehicles,0.8293877
Average precision - Hobbies & Leisure,0.78291553
Average precision - Food & Groceries,0.79903966
Average precision - Retailers & General Merchandise,0.65486777
Average precision - Arts & Entertainment,0.8438803
Average precision - Jobs & Education,0.7987087
Average precision - Law & Government,0.68738794
Average precision - Home & Garden,0.7966564
Average precision - Finance,0.7317461
Average precision - Computers & Consumer Electronics,0.8122689
Average precision - Internet & Telecom,0.69790566
Average precision - Sports & Fitness,0.75740767
Average precision - Dining & Nightlife,0.7746685
Average precision - Business & Industrial,0.79147625
Average precision - Occasions & Gifts,0.69419265
Average precision - Travel & Tourism,0.8009785
"Average precision - News, Media & Publications",0.7586461
Average precision - Apparel,0.8092545
Average precision - Beauty & Personal Care,0.7334262
Average precision - Family & Community,0.6742519
Average precision - Real Estate,0.7621378
