,Logistic Regression
AUC ROC - Health,0.9033513544750931
AUC ROC - Vehicles,0.9250109986284064
AUC ROC - Hobbies & Leisure,0.8517445165404696
AUC ROC - Food & Groceries,0.9106280112623126
AUC ROC - Retailers & General Merchandise,0.8742530202413668
AUC ROC - Arts & Entertainment,0.8496542189562533
AUC ROC - Jobs & Education,0.9028536690293788
AUC ROC - Law & Government,0.8923588966368301
AUC ROC - Home & Garden,0.8889273214926176
AUC ROC - Finance,0.9196139987129818
AUC ROC - Computers & Consumer Electronics,0.8965571341164922
AUC ROC - Internet & Telecom,0.8659992730776693
AUC ROC - Sports & Fitness,0.9033490661331907
AUC ROC - Dining & Nightlife,0.9198358389989778
AUC ROC - Business & Industrial,0.819500415919983
AUC ROC - Occasions & Gifts,0.8942015250174702
AUC ROC - Travel & Tourism,0.8865223518568256
"AUC ROC - News, Media & Publications",0.8061424752258908
AUC ROC - Apparel,0.9286897912734516
AUC ROC - Beauty & Personal Care,0.923607489774041
AUC ROC - Family & Community,0.861195387901735
AUC ROC - Real Estate,0.9207778399603053
