,Logistic Regression
Average precision - Health,0.39706543836415803
Average precision - Vehicles,0.49801065804182587
Average precision - Hobbies & Leisure,0.37920601485893385
Average precision - Food & Groceries,0.4072750191366975
Average precision - Retailers & General Merchandise,0.26799969844174526
Average precision - Arts & Entertainment,0.4915035282736014
Average precision - Jobs & Education,0.44187041200437904
Average precision - Law & Government,0.2823474825456006
Average precision - Home & Garden,0.4278210024953416
Average precision - Finance,0.3476764508680012
Average precision - Computers & Consumer Electronics,0.4318180320801869
Average precision - Internet & Telecom,0.29812906459002025
Average precision - Sports & Fitness,0.3854355502972862
Average precision - Dining & Nightlife,0.41114369387651406
Average precision - Business & Industrial,0.41605868679105645
Average precision - Occasions & Gifts,0.33673323452719617
Average precision - Travel & Tourism,0.41827819330138055
"Average precision - News, Media & Publications",0.38479541912484244
Average precision - Apparel,0.47658561715243886
Average precision - Beauty & Personal Care,0.3705860189721354
Average precision - Family & Community,0.2634809490528098
Average precision - Real Estate,0.4159588732920959
