,Random Forest
AUC ROC - Health,0.789816105387859
AUC ROC - Vehicles,0.8168345644982244
AUC ROC - Hobbies & Leisure,0.7511698632621909
AUC ROC - Food & Groceries,0.798364067773655
AUC ROC - Retailers & General Merchandise,0.7254225975224394
AUC ROC - Arts & Entertainment,0.7068456112375985
AUC ROC - Jobs & Education,0.7821398149789189
AUC ROC - Law & Government,0.7400267383950736
AUC ROC - Home & Garden,0.7781835677212949
AUC ROC - Finance,0.766321053821356
AUC ROC - Computers & Consumer Electronics,0.7765967148024593
AUC ROC - Internet & Telecom,0.7299211605827325
AUC ROC - Sports & Fitness,0.7709379043764986
AUC ROC - Dining & Nightlife,0.7816451971766957
AUC ROC - Business & Industrial,0.7192366674289782
AUC ROC - Occasions & Gifts,0.7619910879054559
AUC ROC - Travel & Tourism,0.755128391003375
"AUC ROC - News, Media & Publications",0.6699495634130714
AUC ROC - Apparel,0.7984995052573312
AUC ROC - Beauty & Personal Care,0.788822180246963
AUC ROC - Family & Community,0.7117423962221215
AUC ROC - Real Estate,0.7643676438263918
