,Random Forest
Average precision - Health,0.2478666736194926
Average precision - Vehicles,0.27937809589568485
Average precision - Hobbies & Leisure,0.3826602025390574
Average precision - Food & Groceries,0.28498047584575564
Average precision - Retailers & General Merchandise,0.11568846406633773
Average precision - Arts & Entertainment,0.3269267732932574
Average precision - Jobs & Education,0.2686560141816724
Average precision - Law & Government,0.13128114714325317
Average precision - Home & Garden,0.32210547492433866
Average precision - Finance,0.15075954261049615
Average precision - Computers & Consumer Electronics,0.25221087269776316
Average precision - Internet & Telecom,0.1730436738792273
Average precision - Sports & Fitness,0.23530813705532916
Average precision - Dining & Nightlife,0.22235495541428865
Average precision - Business & Industrial,0.43568736444557477
Average precision - Occasions & Gifts,0.1583146217328003
Average precision - Travel & Tourism,0.2598642230256469
"Average precision - News, Media & Publications",0.28769029125384393
Average precision - Apparel,0.2676322287505052
Average precision - Beauty & Personal Care,0.19142527553910757
Average precision - Family & Community,0.16467127805915266
Average precision - Real Estate,0.21033175755835862
