,Support Vector Machine
AUC ROC - Health,0.901190033944155
AUC ROC - Vehicles,0.9171245991670274
AUC ROC - Hobbies & Leisure,0.8514350025087936
AUC ROC - Food & Groceries,0.9023816355971692
AUC ROC - Retailers & General Merchandise,0.852756465247577
AUC ROC - Arts & Entertainment,0.8499777829581459
AUC ROC - Jobs & Education,0.893901904472664
AUC ROC - Law & Government,0.8751186179977155
AUC ROC - Home & Garden,0.8854231741562941
AUC ROC - Finance,0.905555279523397
AUC ROC - Computers & Consumer Electronics,0.8915910582227524
AUC ROC - Internet & Telecom,0.8579353725715464
AUC ROC - Sports & Fitness,0.8906086241885983
AUC ROC - Dining & Nightlife,0.9084413933531434
AUC ROC - Business & Industrial,0.8174791715389216
AUC ROC - Occasions & Gifts,0.8778950754960619
AUC ROC - Travel & Tourism,0.877742477265227
"AUC ROC - News, Media & Publications",0.8028386891040231
AUC ROC - Apparel,0.916109511943987
AUC ROC - Beauty & Personal Care,0.9059063190585603
AUC ROC - Family & Community,0.8454927249604914
AUC ROC - Real Estate,0.9086305422491769
