,Support Vector Machine
Average precision - Health,0.32702360425259996
Average precision - Vehicles,0.450653760239969
Average precision - Hobbies & Leisure,0.29847621751905856
Average precision - Food & Groceries,0.38236450555417206
Average precision - Retailers & General Merchandise,0.1784343041953673
Average precision - Arts & Entertainment,0.40884809207169664
Average precision - Jobs & Education,0.3987645448216099
Average precision - Law & Government,0.2252055471873338
Average precision - Home & Garden,0.3187751400537299
Average precision - Finance,0.29916178237615254
Average precision - Computers & Consumer Electronics,0.3645386357252726
Average precision - Internet & Telecom,0.23150410180661748
Average precision - Sports & Fitness,0.3072572879567546
Average precision - Dining & Nightlife,0.41196908534932786
Average precision - Business & Industrial,0.3433436973966336
Average precision - Occasions & Gifts,0.28423469590054684
Average precision - Travel & Tourism,0.3430831931361145
"Average precision - News, Media & Publications",0.3230422266369597
Average precision - Apparel,0.39709846146601097
Average precision - Beauty & Personal Care,0.3509323356251042
Average precision - Family & Community,0.22059040795252638
Average precision - Real Estate,0.37674876880629965
